task_lang,transfer_lang,accuracy,f1_score
en,ar,0.7709,0.7682
ar,ar,0.7014,0.7
bg,ar,0.7331,0.7321
de,ar,0.724,0.7234
el,ar,0.7371,0.7362
es,ar,0.7435,0.7414
fr,ar,0.7335,0.7312
hi,ar,0.6792,0.6785
ru,ar,0.718,0.7174
sw,ar,0.6497,0.6494
th,ar,0.6856,0.6839
tr,ar,0.6888,0.6872
ur,ar,0.6577,0.6569
vi,ar,0.7062,0.7052
zh,ar,0.692,0.6874
en,bg,0.7818,0.7802
ar,bg,0.6812,0.6793
bg,bg,0.7489,0.7485
de,bg,0.7323,0.7322
el,bg,0.7267,0.7262
es,bg,0.7485,0.7471
fr,bg,0.7421,0.7409
hi,bg,0.6786,0.6781
ru,bg,0.7269,0.7262
sw,bg,0.6585,0.6571
th,bg,0.6824,0.6809
tr,bg,0.6932,0.6906
ur,bg,0.6571,0.6559
vi,bg,0.706,0.705
zh,bg,0.6964,0.6943
en,de,0.796,0.7932
ar,de,0.701,0.6976
bg,de,0.7513,0.7499
de,de,0.7567,0.7559
el,de,0.7511,0.7502
es,de,0.7569,0.7543
fr,de,0.7489,0.7457
hi,de,0.6934,0.6918
ru,de,0.7375,0.7361
sw,de,0.6715,0.6691
th,de,0.6998,0.698
tr,de,0.7052,0.7026
ur,de,0.6796,0.6783
vi,de,0.719,0.718
zh,de,0.7164,0.7135
en,el,0.7838,0.7825
ar,el,0.6958,0.6936
bg,el,0.7455,0.745
de,el,0.7325,0.732
el,el,0.7557,0.7553
es,el,0.7551,0.754
fr,el,0.7451,0.7433
hi,el,0.6852,0.6841
ru,el,0.7248,0.7241
sw,el,0.6683,0.6674
th,el,0.6856,0.684
tr,el,0.686,0.683
ur,el,0.6623,0.6618
vi,el,0.708,0.7068
zh,el,0.6994,0.6956
en,en,0.8062,0.8063
ar,en,0.6842,0.6818
bg,en,0.7439,0.7438
de,en,0.7373,0.7377
el,en,0.7397,0.7395
es,en,0.7671,0.7663
