task_lang,transfer_lang,accuracy,f1_score
zh,af,0.2452,0.6028859229908378
kk,af,0.685,0.8078451215451217
ext,af,0.4,0.5756684981684981
mi,af,0.33,0.6902222222222223
map-bms,af,0.44,0.5567575757575757
tt,af,0.555,0.7702579254079255
simple,af,0.718,0.8671783033959505
so,af,0.58,0.7152380952380953
eu,af,0.6107,0.8149725321762861
eo,af,0.618,0.7761393352235999
arc,af,0.14,0.2848095238095238
gn,af,0.48,0.6533492063492063
vec,af,0.6,0.7226219336219337
ba,af,0.58,0.8136861471861472
bat-smg,af,0.55,0.6831666666666668
fy,af,0.703,0.8284451331262476
br,af,0.5,0.6639277003268489
ml,af,0.626,0.7736592179062768
ceb,af,0.52,0.6299563769563769
ur,af,0.499,0.7431642524142523
diq,af,0.5,0.6931349206349208
sr,af,0.403,0.6807268022070809
rm,af,0.52,0.7498563103563103
zh-yue,af,0.3224,0.6260614522019088
min,af,0.33,0.6114942279942279
sk,af,0.6268,0.8028647385217123
am,af,0.41,0.59
pl,af,0.6464,0.8260500006426322
bh,af,0.57,0.732995670995671
si,af,0.55,0.6796017316017315
sa,af,0.36,0.5294126984126983
ug,af,0.36,0.5145714285714286
ln,af,0.44,0.5828290043290043
fi,af,0.6714,0.8379138772089624
ksh,af,0.43,0.6586403508771929
ca,af,0.6691,0.8186621939395314
jbo,af,0.39,0.5109999999999999
la,af,0.552,0.6769571077615195
no,af,0.7006,0.8495957386550497
ta,af,0.493,0.7056349511599512
mzn,af,0.54,0.7533131313131313
az,af,0.6,0.7931426795426796
or,af,0.12,0.437021534021534
id,af,0.4953,0.667431781670342
vls,af,0.58,0.7759039294039295
mk,af,0.669,0.8317613642978967
hak,af,0.31,0.3661269841269841
io,af,0.66,0.74704329004329
mn,af,0.54,0.7528354978354979
vep,af,0.53,0.772904761904762
fr,af,0.6307,0.8210992891585538
ga,af,0.62,0.8120206199029728
bg,af,0.657,0.8008500996191631
lt,af,0.6788,0.8353422152134071
es,af,0.6636,0.8265296425736287
uz,af,0.557,0.7367044566544566
xmf,af,0.46,0.5788192918192918
ps,af,0.44,0.6407131757131757
sq,af,0.748,0.855618070818071
nap,af,0.57,0.7095438362806784
mt,af,0.62,0.8015826395826398
tg,af,0.66,0.8080631313131315
de,af,0.6418,0.8079776334767743
pdc,af,0.41,0.5853492063492064
sw,af,0.527,0.6473412412149254
pt,af,0.6129,0.7856872723458173
fo,af,0.61,0.7795344567712987
ckb,af,0.408,0.6293711399711399
sl,af,0.6766,0.8136805881356346
gu,af,0.53,0.7317458097458097
tk,af,0.56,0.6743051948051949
sh,af,0.7362,0.8368730743766039
sv,af,0.6443,0.8500636101763732
hy,af,0.49,0.6384729867999217
ast,af,0.617,0.8311646969044029
ce,af,0.38,0.7282026307026307
pnb,af,0.43,0.6044938949938949
km,af,0.41,0.5467380952380952
wuu,af,0.31,0.5823333333333334
be,af,0.685,0.8246414642375168
cy,af,0.566,0.7190945410196958
da,af,0.7029,0.8492025736131774
ilo,af,0.61,0.7208532023532024
it,af,0.6392,0.8205252527030933
lv,af,0.6379,0.7854052598270322
qu,af,0.58,0.6952469109837531
rw,af,0.62,0.7317178932178934
he,af,0.4505,0.7026250374814385
as,af,0.48,0.6684834054834053
ja,af,0.1263,0.4797061730624036
mg,af,0.44,0.7074357864357863
pa,af,0.48,0.6372958152958152
scn,af,0.59,0.7395885225885226
af,af,0.822,0.9142167047177108
th,af,0.0014,0.1438803821419378
fiu-vro,af,0.48,0.6925367965367966
an,af,0.739,0.8601418260875692
te,af,0.549,0.7117208791208791
oc,af,0.7,0.7601110001110001
sco,af,0.72,0.8276746031746031
bar,af,0.75,0.7999855699855699
ms,af,0.496,0.6408624693675777
uk,af,0.5413,0.7775233671514243
ay,af,0.44,0.4878874458874458
vo,af,0.38,0.4970555555555556
cdo,af,0.28,0.362
ia,af,0.43,0.6716311841753019
nn,af,0.688,0.8259894995355521
hu,af,0.6929,0.8461346342408881
zh-min-nan,af,0.3,0.4814609279609279
gan,af,0.43,0.5908333333333333
en,af,0.5208,0.7464300328936629
bs,af,0.6,0.8153120041551156
el,af,0.7224,0.8431514583679134
ace,af,0.38,0.6225740370740369
fa,af,0.3746,0.6721221924583844
bn,af,0.59,0.7343700328910855
ig,af,0.49,0.6044206349206349
kn,af,0.61,0.7563088023088023
hr,af,0.6427,0.8134263153564701
ko,af,0.3974,0.643909482574529
ar,af,0.4444,0.6792773090995692
nds,af,0.59,0.8276504329004329
eml,af,0.42,0.5528012455380876
ka,af,0.5596,0.7707864622924375
sah,af,0.47,0.5831391941391941
pms,af,0.47,0.7246125000730264
gl,af,0.7661,0.8656422156970995
li,af,0.62,0.7532680565048986
ru,af,0.5842,0.7496753669644769
yo,af,0.52,0.6163636363636364
ku,af,0.73,0.8147936507936508
et,af,0.6666,0.8359293497008669
csb,af,0.47,0.6592832080200501
mwl,af,0.38,0.694894438894439
be-x-old,af,0.631,0.7815847676918883
frr,af,0.48,0.6016190476190475
bo,af,0.33,0.3673333333333333
yi,af,0.54,0.6963968253968253
dv,af,0.46,0.6487806637806638
su,af,0.53,0.7073793983793983
os,af,0.46,0.7280634920634921
war,af,0.52,0.6941873681873681
mr,af,0.545,0.7431052374096492
crh,af,0.47,0.6568095238095237
is,af,0.682,0.8363360769347612
nov,af,0.65,0.8856305916305917
cs,af,0.638,0.8211607241666142
ro,af,0.5992,0.7847008440819586
cbk-zam,af,0.38,0.6506507936507937
szl,af,0.55,0.6632380952380953
hi,af,0.56,0.7329339466089466
co,af,0.56,0.642888888888889
vi,af,0.4805,0.7380548142139938
zea,af,0.62,0.7916212121212121
arz,af,0.48,0.7449413364413365
cv,af,0.46,0.7084186369186369
sd,af,0.39,0.6573124098124097
hsb,af,0.62,0.7663784461152882
zh-classical,af,0.23,0.5474973914973915
wa,af,0.47,0.6066189921189921
tr,af,0.7137,0.8461780979031289
my,af,0.48,0.7004083694083694
tl,af,0.618,0.7321691514196158
als,af,0.44,0.768817083501294
mhr,af,0.55,0.6640468975468976
lij,af,0.34,0.5309059829059829
ne,af,0.49,0.7852899322899323
lmo,af,0.44,0.7155865025926945
ky,af,0.43,0.6621629481629483
gd,af,0.57,0.6824632034632034
nl,af,0.6926,0.8326730886906353
fur,af,0.54,0.676273448773449
ang,af,0.57,0.6935163398692811
lb,af,0.604,0.7812251470751471
jv,af,0.55,0.7579797979797981
cbk-zam,ar,0.37,0.6707546897546898
wuu,ar,0.17,0.5235555555555554
eu,ar,0.5187,0.77251902063279
eml,ar,0.29,0.4628061660561661
szl,ar,0.44,0.5992222222222222
si,ar,0.63,0.7503982683982684
en,ar,0.4697,0.7308579370182621
ta,ar,0.428,0.7117387529137529
br,ar,0.413,0.6218837701342345
nds,ar,0.63,0.8248654123654124
rw,ar,0.47,0.6311312021312021
gd,ar,0.49,0.612010101010101
ml,ar,0.554,0.7596390269860858
bg,ar,0.6318,0.815284491454538
su,ar,0.33,0.6183058053058053
map-bms,ar,0.43,0.656857142857143
ba,ar,0.5,0.6980858585858586
pl,ar,0.5988,0.8164031998419538
gu,ar,0.36,0.6859880952380952
ka,ar,0.5318,0.7588646621721932
simple,ar,0.598,0.8056302212407476
fiu-vro,ar,0.31,0.5959285714285714
gan,ar,0.25,0.5813030303030302
arc,ar,0.01,0.2765850815850816
da,ar,0.615,0.8167227396262149
lij,ar,0.27,0.4910494505494505
lt,ar,0.6691,0.832447030530529
sco,ar,0.62,0.7682197247197248
sl,ar,0.6241,0.7815640127605453
mt,ar,0.51,0.7739486624486623
mhr,ar,0.23,0.5174212454212453
vo,ar,0.39,0.5094444444444445
scn,ar,0.55,0.7112466422466422
ar,ar,0.8347,0.9022560007132532
ku,ar,0.64,0.7697460317460317
et,ar,0.5587,0.7847785341292695
af,ar,0.551,0.7565502287959719
th,ar,0.1174,0.3236347129109281
vep,ar,0.51,0.7307847805788984
lmo,ar,0.4,0.7400832721629936
os,ar,0.32,0.6382502497502497
ga,ar,0.576,0.7980860722610723
mk,ar,0.551,0.784906301850884
