task_lang,transfer_lang,exact_match,f1_score
finnish,arabic,47.9539641943734,63.71297945346756
russian,arabic,35.09852216748769,56.23710805847526
telugu,arabic,31.988041853512705,41.24801907508092
swahili,arabic,43.8877755511022,58.82994030816647
korean,arabic,35.507246376811594,45.59062775630352
bengali,arabic,23.893805309734518,37.16143738267632
indonesian,arabic,53.98230088495576,70.4541586912944
english,arabic,51.13636363636363,63.33046425926848
arabic,arabic,71.55266015200868,83.58473914149812
indonesian,bengali,20.17699115044248,43.83395315849867
bengali,bengali,67.2566371681416,77.58776130457547
telugu,bengali,40.50822122571002,49.090005659512414
english,bengali,25.90909090909091,41.606107445407616
swahili,bengali,20.841683366733463,40.88448807136647
finnish,bengali,21.48337595907928,40.36648456435937
korean,bengali,36.594202898550726,47.01131231062707
arabic,bengali,20.62975027144408,41.752587623776535
russian,bengali,17.980295566502463,38.46097216268369
telugu,en,0.2017937219730941,0.3203271453240996
indonesian,en,0.504424778761062,0.6751363782502189
korean,en,0.2355072463768116,0.3519342035491818
russian,en,0.2105911330049261,0.471074430526887
finnish,en,0.4207161125319693,0.5888196597778635
swahili,en,0.4348697394789579,0.5862485912809241
bengali,en,0.1592920353982301,0.2984452212815907
english,en,0.5886363636363636,0.6798693232211273
arabic,en,0.4093376764386536,0.6126630036085572
russian,english,32.758620689655174,56.47289095722716
indonesian,english,54.690265486725664,73.67737290368552
bengali,english,19.469026548672566,34.157454276730924
swahili,english,43.8877755511022,60.156802796595336
arabic,english,49.728555917481,69.12350480372226
finnish,english,48.84910485933504,65.20188509595313
telugu,english,23.31838565022421,34.75417675797115
english,english,64.54545454545455,74.86896566037575
korean,english,41.30434782608695,50.417194842925
indonesian,finnish,58.76106194690266,75.24938610375342
russian,finnish,37.5615763546798,56.680120088640415
arabic,finnish,49.0770901194354,67.23440533945147
finnish,finnish,70.076726342711,79.77014726742333
bengali,finnish,29.20353982300885,44.26069260140056
swahili,finnish,49.8997995991984,65.13793150300764
telugu,finnish,37.81763826606876,50.04849942839027
korean,finnish,32.608695652173914,44.29367160221204
english,finnish,51.36363636363637,64.31686841573888
russian,indonesian,34.72906403940887,56.418725030437066
swahili,indonesian,50.1002004008016,65.59827945603035
korean,indonesian,34.78260869565217,45.43857730757821
english,indonesian,58.63636363636363,69.04331655429658
indonesian,indonesian,75.04424778761062,83.70148222207287
bengali,indonesian,21.238938053097343,35.91246958654284
finnish,indonesian,52.42966751918159,68.44111023023447
arabic,indonesian,55.26601520086862,73.87213271816962
telugu,indonesian,33.63228699551569,46.39720006742922
indonesian,korean,46.54867256637168,61.26236463941496
bengali,korean,51.32743362831859,65.33289176279396
swahili,korean,49.6993987975952,66.14061781576167
russian,korean,43.22660098522167,59.72614347411557
arabic,korean,41.36807817589577,59.30353261923409
korean,korean,64.1304347826087,72.11142787043508
finnish,korean,47.05882352941177,62.40702850668982
english,korean,51.13636363636363,64.44467858369494
telugu,korean,46.93572496263079,60.81901075174618
korean,russian,38.04347826086956,49.00440665995731
english,russian,56.81818181818182,70.39813009828367
swahili,russian,42.08416833667334,58.26331130927273
finnish,russian,55.88235294117647,69.45948471263638
russian,russian,65.64039408866995,78.0116881267333
telugu,russian,37.5186846038864,47.72509763645739
indonesian,russian,57.16814159292036,74.39005604574399
bengali,russian,29.20353982300885,43.76978306414728
arabic,russian,49.5114006514658,68.48717021534361
finnish,swahili,40.92071611253197,56.90564467359798
korean,swahili,36.594202898550726,46.65915169155037
swahili,swahili,73.94789579158316,82.35918626053315
arabic,swahili,42.99674267100977,61.76623474797519
english,swahili,46.59090909090909,59.47538652110412
telugu,swahili,33.03437967115097,42.42933966265348
indonesian,swahili,52.21238938053097,69.18548748641801
russian,swahili,30.911330049261085,50.09912132891929
bengali,swahili,24.778761061946906,41.32701293849245
korean,telugu,46.01449275362319,57.17000359325235
indonesian,telugu,41.41592920353983,56.31016976305885
bengali,telugu,35.39823008849557,51.14487773779809
russian,telugu,35.467980295566505,51.43777243038087
arabic,telugu,36.15635179153095,51.35161288625471
swahili,telugu,45.49098196392786,62.381862197449486
english,telugu,42.27272727272727,56.01385022486329
finnish,telugu,41.43222506393862,57.262463162968594
telugu,telugu,76.08370702541106,85.67221402418338
